persona_id,archetype,lens,track,task_id,outcome,satisfaction,dropoff_step,elapsed_sec,blocker
P05,A,ai_resist,A,T4,완료,3,썸네일생성대기,9,
P05,A,ai_resist,A,T5,완료,3,생성대기,10,
P05,A,ai_resist,A,T6,완료,3,기업매칭,9,
P05,A,ai_resist,A,T7,완료,3,,1,
P06,A,-,A,T0,완료,4,,16,
P06,A,-,A,T1,완료,5,,2,
P06,A,-,A,T2,완료,4,브랜드관리,5,
P06,A,-,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P06,A,-,A,T4,완료,4,,17,
P06,A,-,A,T5,완료,4,,18,
P06,A,-,A,T6,완료,3,기업매칭,10,
P06,A,-,A,T7,완료,3,마이페이지,1,
P07,A,-,A,T0,완료,3,,16,
P07,A,-,A,T1,완료,5,,2,
P07,A,-,A,T2,완료,3,,5,
P07,A,-,A,T3,제외,3,제품 정보(이미지 업로드),16,리포트 파이프라인 P0 로 과업 제외
P07,A,-,A,T4,완료,2,템플릿선택,17,
P07,A,-,A,T5,완료,3,성분입력,12,
P07,A,-,A,T6,완료,3,기업매칭,9,
P07,A,-,A,T7,완료,3,,1,
P08,A,approval,A,T0,완료,3,,16,
P08,A,approval,A,T1,완료,4,,2,
P08,A,approval,A,T2,완료,4,,5,
P08,A,approval,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P08,A,approval,A,T4,완료,3,,7,
P08,A,approval,A,T5,완료,4,,12,
P08,A,approval,A,T6,완료,3,기업매칭,9,
P08,A,approval,A,T7,완료,4,,1,
P09,B,-,A,T0,완료,4,,16,
P09,B,-,A,T1,완료,5,,2,
P09,B,-,A,T2,완료,4,,5,
P09,B,-,A,T3,제외,4,,33,리포트 파이프라인 P0 로 과업 제외
P09,B,-,A,T4,완료,4,썸네일생성중,9,
P09,B,-,A,T5,완료,4,블록구성확인,11,
P09,B,-,A,T6,완료,3,기업매칭,9,
P09,B,-,A,T7,완료,3,결제,1,
P10,B,approval,A,T0,완료,4,,17,
P10,B,approval,A,T1,완료,5,,2,
P10,B,approval,A,T2,완료,4,,5,
P10,B,approval,A,T3,제외,4,,31,리포트 파이프라인 P0 로 과업 제외
P10,B,approval,A,T4,완료,4,썸네일생성중,7,
P10,B,approval,A,T5,완료,4,,10,
P10,B,approval,A,T6,완료,4,기업매칭,9,
P10,B,approval,A,T7,완료,3,,1,
P11,B,-,A,T0,완료,4,,16,
P11,B,-,A,T1,완료,4,,2,
P11,B,-,A,T2,완료,4,,5,
P11,B,-,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P11,B,-,A,T4,완료,4,,8,
P11,B,-,A,T5,완료,4,,15,
P11,B,-,A,T6,완료,3,기업매칭,9,
P11,B,-,A,T7,완료,3,,1,
P12,B,no_jp,A,T0,완료,3,,16,
P12,B,no_jp,A,T1,완료,5,,2,
P12,B,no_jp,A,T2,완료,3,브랜드관리,5,
P12,B,no_jp,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P12,B,no_jp,A,T4,완료,4,,13,
P12,B,no_jp,A,T5,완료,3,생성대기,8,
P12,B,no_jp,A,T6,완료,3,기업매칭,9,
P12,B,no_jp,A,T7,완료,4,,1,
P13,B,ai_resist,A,T0,완료,4,,16,
P13,B,ai_resist,A,T1,완료,4,,2,
P13,B,ai_resist,A,T2,완료,4,,5,
P13,B,ai_resist,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P13,B,ai_resist,A,T4,완료,3,템플릿선택,8,
P13,B,ai_resist,A,T5,완료,4,,12,
P13,B,ai_resist,A,T6,완료,3,기업매칭,9,
P13,B,ai_resist,A,T7,완료,4,결제,1,
P14,B,approval,A,T0,완료,4,,15,
P14,B,approval,A,T1,완료,4,,2,
P14,B,approval,A,T2,완료,4,,5,
P14,B,approval,A,T3,제외,4,,30,리포트 파이프라인 P0 로 과업 제외
P14,B,approval,A,T4,완료,4,,21,
P14,B,approval,A,T5,완료,4,detail-processing,11,
P14,B,approval,A,T6,완료,3,matching,10,
P14,B,approval,A,T7,완료,3,account,1,
P15,C,approval,A,T0,완료,4,,15,
P15,C,approval,A,T1,완료,5,,2,
P15,C,approval,A,T2,완료,3,,5,
P15,C,approval,A,T3,제외,4,리포트 생성 대기(같은 단계 반복 노출),32,리포트 파이프라인 P0 로 과업 제외
P15,C,approval,A,T4,완료,4,,6,
P15,C,approval,A,T5,완료,3,블록구성확인,9,
P15,C,approval,A,T6,완료,4,기업매칭,9,
P15,C,approval,A,T7,완료,3,,1,
P16,C,-,A,T0,완료,4,,15,
P16,C,-,A,T1,완료,5,,2,
P16,C,-,A,T2,완료,4,,5,
P16,C,-,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P16,C,-,A,T4,완료,4,,20,
P16,C,-,A,T5,완료,4,블록구성확인,9,
P16,C,-,A,T6,완료,4,,10,
P16,C,-,A,T7,완료,4,,1,
P17,C,approval;no_jp,A,T0,완료,4,,16,
P17,C,approval;no_jp,A,T1,완료,4,,2,
P17,C,approval;no_jp,A,T2,완료,3,브랜드관리,5,
P17,C,approval;no_jp,A,T3,제외,4,,31,리포트 파이프라인 P0 로 과업 제외
P17,C,approval;no_jp,A,T4,완료,3,,8,
P17,C,approval;no_jp,A,T5,완료,3,블록구성확인,10,
P17,C,approval;no_jp,A,T6,완료,3,기업매칭,10,
P17,C,approval;no_jp,A,T7,완료,3,,1,
P18,C,-,A,T0,완료,4,,15,
P18,C,-,A,T1,완료,5,,2,
P18,C,-,A,T2,완료,4,,5,
P18,C,-,A,T3,제외,4,,32,리포트 파이프라인 P0 로 과업 제외
P18,C,-,A,T4,완료,3,템플릿,8,
P18,C,-,A,T5,완료,4,,14,"page.waitForURL: Target page, context or browser has been closed"
P18,C,-,A,T6,완료,3,기업매칭,10,
P18,C,-,A,T7,완료,2,마이페이지,1,
P19,D,ai_resist;no_jp,A,T0,완료,3,,15,
P19,D,ai_resist;no_jp,A,T1,완료,4,,2,
P19,D,ai_resist;no_jp,A,T2,완료,3,,5,
P19,D,ai_resist;no_jp,A,T3,제외,3,,17,리포트 파이프라인 P0 로 과업 제외
P19,D,ai_resist;no_jp,A,T4,완료,3,,7,
P19,D,ai_resist;no_jp,A,T5,완료,3,상세페이지생성,9,
P19,D,ai_resist;no_jp,A,T6,완료,3,기업매칭,9,
P19,D,ai_resist;no_jp,A,T7,완료,2,마이페이지,1,
P20,D,ai_resist;no_jp,A,T0,완료,3,,15,
P20,D,ai_resist;no_jp,A,T1,완료,4,,2,
P20,D,ai_resist;no_jp,A,T2,완료,3,브랜드관리,5,
P20,D,ai_resist;no_jp,A,T3,제외,3,진단 대상 콘텐츠 업로드,17,리포트 파이프라인 P0 로 과업 제외
P20,D,ai_resist;no_jp,A,T4,완료,3,,7,
P20,D,ai_resist;no_jp,A,T5,완료,3,블록구성확인,11,
P20,D,ai_resist;no_jp,A,T6,완료,3,,9,
P20,D,ai_resist;no_jp,A,T7,완료,2,플랜비교,1,
